20
0 1.000000000000000000e+00 1.000000000000000000e+00
24 2.174999999999999822e+00 7.199999999999999734e-01
23 2.516999999999999904e+00 7.900000000000000355e-01
22 3.003000000000000114e+00 8.100000000000000533e-01
21 3.619000000000000217e+00 7.800000000000000266e-01
20 4.224000000000000199e+00 8.299999999999999600e-01
19 4.833999999999999631e+00 9.499999999999999556e-01
18 5.665000000000000036e+00 1.040000000000000036e+00
17 6.272999999999999687e+00 1.030000000000000027e+00
16 6.884000000000000341e+00 1.100000000000000089e+00
15 7.490000000000000213e+00 1.500000000000000000e+00
14 8.101000000000000867e+00 1.919999999999999929e+00
13 8.714999999999999858e+00 2.040000000000000036e+00
12 9.330999999999999517e+00 2.049999999999999822e+00
11 9.935000000000000497e+00 2.209999999999999964e+00
10 1.057199999999999918e+01 2.419999999999999929e+00
9 1.117800000000000082e+01 2.680000000000000160e+00
8 1.179100000000000037e+01 2.660000000000000142e+00
7 1.240099999999999980e+01 2.439999999999999947e+00
6 1.301099999999999923e+01 2.379999999999999893e+00
