 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01 1.11111111e+01
 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01 2.22222222e+01
 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01 3.33333333e+01
 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01 4.44444444e+01
 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01 5.55555556e+01
 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01 6.66666667e+01
 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01 7.77777778e+01
 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01 8.88888889e+01
 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02 1.00000000e+02
