    0.8751538258E+01      0.8751538258E+01      0.1214971461E+01      0.9046714305E+00
    0.8769400536E+01      0.8769400536E+01      0.1295448717E+01      0.9477470770E+00
    0.8781503410E+01      0.8781503410E+01      0.1372139223E+01      0.9951466268E+00
    0.8783975013E+01      0.8783975013E+01      0.1441184668E+01      0.1044411332E+01
    0.8782088683E+01      0.8782088683E+01      0.1508193109E+01      0.1097720611E+01
    0.8776355216E+01      0.8776355216E+01      0.1572319816E+01      0.1156414529E+01
    0.8766760976E+01      0.8766760976E+01      0.1632400453E+01      0.1220711172E+01
    0.8753808356E+01      0.8753808356E+01      0.1688489186E+01      0.1290879169E+01
    0.8737855311E+01      0.8737855311E+01      0.1740940767E+01      0.1367309958E+01
    0.8719080174E+01      0.8719080174E+01      0.1790463420E+01      0.1450517181E+01
    0.8697433773E+01      0.8697433773E+01      0.1838176888E+01      0.1540896675E+01
    0.8673322606E+01      0.8673322606E+01      0.1885504208E+01      0.1639259060E+01
    0.8645442800E+01      0.8645442800E+01      0.1934675680E+01      0.1747237202E+01
    0.8612620943E+01      0.8612620943E+01      0.1987641267E+01      0.1866487246E+01
    0.8573459630E+01      0.8573459630E+01      0.2046202310E+01      0.1999037616E+01
    0.8526068227E+01      0.8526068227E+01      0.2112805399E+01      0.2147666803E+01
    0.8466704429E+01      0.8466704429E+01      0.2191835741E+01      0.2316136364E+01
    0.8391130299E+01      0.8391130299E+01      0.2290138183E+01      0.2509601085E+01
    0.8292720516E+01      0.8292720516E+01      0.2416817341E+01      0.2736205250E+01
    0.8162910013E+01      0.8162910013E+01      0.2588107098E+01      0.3006645684E+01
    0.7987192695E+01      0.7987192695E+01      0.2827268752E+01      0.3335517675E+01
    0.7733757758E+01      0.7733757758E+01      0.3190828978E+01      0.3738847916E+01
    0.7341027644E+01      0.7341027644E+01      0.3799299591E+01      0.4208861917E+01
    0.6699497707E+01      0.6699497707E+01      0.5058464452E+01      0.5335504086E+01
    0.4941235403E+01      0.4941235403E+01      0.7083867400E+01      0.4334941269E+01
    0.8709907275E+01      0.8709907275E+01      0.1256408228E+01      0.8997515066E+00
    0.8727585358E+01      0.8727585358E+01      0.1340908342E+01      0.9439441265E+00
    0.8738454737E+01      0.8738454737E+01      0.1420890051E+01      0.9911410627E+00
    0.8740123765E+01      0.8740123765E+01      0.1493839624E+01      0.1040207224E+01
    0.8737619741E+01      0.8737619741E+01      0.1565660653E+01      0.1093371268E+01
    0.8730998071E+01      0.8730998071E+01      0.1634932844E+01      0.1151632421E+01
    0.8720431681E+01      0.8720431681E+01      0.1700569982E+01      0.1215037765E+01
    0.8706456744E+01      0.8706456744E+01      0.1762595564E+01      0.1283824065E+01
    0.8689564183E+01      0.8689564183E+01      0.1821479547E+01      0.1358443939E+01
    0.8669999957E+01      0.8669999957E+01      0.1877998342E+01      0.1439337537E+01
    0.8647903590E+01      0.8647903590E+01      0.1933311556E+01      0.1526985762E+01
    0.8622958098E+01      0.8622958098E+01      0.1989077826E+01      0.1622351123E+01
    0.8593685616E+01      0.8593685616E+01      0.2048097530E+01      0.1726685971E+01
    0.8558620693E+01      0.8558620693E+01      0.2113281767E+01      0.1841524617E+01
    0.8516426440E+01      0.8516426440E+01      0.2187523465E+01      0.1968858923E+01
    0.8465232202E+01      0.8465232202E+01      0.2274268765E+01      0.2110946907E+01
    0.8402027242E+01      0.8402027242E+01      0.2378520027E+01      0.2270341950E+01
    0.8322234885E+01      0.8322234885E+01      0.2507088472E+01      0.2450252995E+01
    0.8220316496E+01      0.8220316496E+01      0.2670289141E+01      0.2655061308E+01
    0.8087997234E+01      0.8087997234E+01      0.2883111297E+01      0.2890459604E+01
    0.7914593882E+01      0.7914593882E+01      0.3169578874E+01      0.3160921580E+01
    0.7674997122E+01      0.7674997122E+01      0.3572228298E+01      0.3469341468E+01
    0.7338743514E+01      0.7338743514E+01      0.4160027648E+01      0.3759900948E+01
    0.6859461494E+01      0.6859461494E+01      0.5126569886E+01      0.4377506043E+01
    0.5897353380E+01      0.5897353380E+01      0.6801972228E+01      0.3838492970E+01
    0.8666297175E+01      0.8666297175E+01      0.1298212733E+01      0.8949167380E+00
    0.8683808300E+01      0.8683808300E+01      0.1386266139E+01      0.9395282912E+00
    0.8693773242E+01      0.8693773242E+01      0.1469208702E+01      0.9860268084E+00
    0.8695124211E+01      0.8695124211E+01      0.1545818208E+01      0.1034279850E+01
    0.8692563863E+01      0.8692563863E+01      0.1621897889E+01      0.1086352137E+01
    0.8685853916E+01      0.8685853916E+01      0.1695927871E+01      0.1142878043E+01
    0.8675080651E+01      0.8675080651E+01      0.1766847356E+01      0.1204154360E+01
    0.8660779075E+01      0.8660779075E+01      0.1834552141E+01      0.1270556622E+01
    0.8643424024E+01      0.8643424024E+01      0.1899550981E+01      0.1342427713E+01
    0.8623327929E+01      0.8623327929E+01      0.1962714550E+01      0.1420146998E+01
    0.8600734650E+01      0.8600734650E+01      0.2025175685E+01      0.1504147452E+01
    0.8575075965E+01      0.8575075965E+01      0.2088937156E+01      0.1595570984E+01
    0.8544685957E+01      0.8544685957E+01      0.2156985949E+01      0.1695098697E+01
    0.8507918798E+01      0.8507918798E+01      0.2232720511E+01      0.1803859422E+01
    0.8463592569E+01      0.8463592569E+01      0.2319438341E+01      0.1923365532E+01
    0.8410046541E+01      0.8410046541E+01      0.2421041333E+01      0.2055283117E+01
    0.8344482969E+01      0.8344482969E+01      0.2542979052E+01      0.2201355903E+01
    0.8262919398E+01      0.8262919398E+01      0.2692499113E+01      0.2363110895E+01
    0.8159973830E+01      0.8159973830E+01      0.2879360372E+01      0.2541883257E+01
    0.8028791188E+01      0.8028791188E+01      0.3117426345E+01      0.2738836520E+01
    0.7861917304E+01      0.7861917304E+01      0.3425203818E+01      0.2949608145E+01
    0.7639825345E+01      0.7639825345E+01      0.3833828797E+01      0.3178918333E+01
    0.7351217824E+01      0.7351217824E+01      0.4371475384E+01      0.3337637049E+01
    0.6989574031E+01      0.6989574031E+01      0.5129093081E+01      0.3589059122E+01
    0.6407339141E+01      0.6407339141E+01      0.6231539984E+01      0.3283988594E+01
    0.8621820483E+01      0.8621820483E+01      0.1339926202E+01      0.8891665465E+00
    0.8639528548E+01      0.8639528548E+01      0.1430911832E+01      0.9329232302E+00
    0.8649455554E+01      0.8649455554E+01      0.1516497255E+01      0.9776276521E+00
    0.8651211064E+01      0.8651211064E+01      0.1596341523E+01      0.1024508214E+01
    0.8649063625E+01      0.8649063625E+01      0.1675838896E+01      0.1075008876E+01
    0.8642704492E+01      0.8642704492E+01      0.1754133732E+01      0.1129353530E+01
    0.8631958282E+01      0.8631958282E+01      0.1829946119E+01      0.1187890056E+01
    0.8617411072E+01      0.8617411072E+01      0.1902980364E+01      0.1251062394E+01
    0.8599672455E+01      0.8599672455E+01      0.1973627788E+01      0.1319282562E+01
    0.8579143121E+01      0.8579143121E+01      0.2042946026E+01      0.1392886536E+01
    0.8556200938E+01      0.8556200938E+01      0.2112135847E+01      0.1472558270E+01
    0.8529861806E+01      0.8529861806E+01      0.2183380923E+01      0.1559030188E+01
    0.8498625075E+01      0.8498625075E+01      0.2259673904E+01      0.1652749997E+01
    0.8460769021E+01      0.8460769021E+01      0.2344667864E+01      0.1754261259E+01
    0.8415014773E+01      0.8415014773E+01      0.2441732127E+01      0.1864484114E+01
    0.8360020369E+01      0.8360020369E+01      0.2554796524E+01      0.1984408100E+01
    0.8293300968E+01      0.8293300968E+01      0.2689188486E+01      0.2114809317E+01
